domain,avg_d2,med_d2,sd_d2,min_d2,max_d2,delta_min_d2,delta_max_d2,avg_d5,med_d5,sd_d5,min_d5,max_d5,delta_min_d5,delta_max_d5,frac_d2,frac_d5,description,act_avg_d2,act_med_d2,act_sd_d2,act_min_d2,act_max_d2,act_delta_min_d2,act_delta_max_d2,rep_avg_d5,rep_med_d5,rep_sd_d5,rep_min_d5,rep_max_d5,rep_delta_min_d5,rep_delta_max_d5,is_activator,is_repressor,baseline_type,prior_type,gene
Short_nuclear_domain;JDP2_HUMAN;bZIP_1;61;63,-2.0307528050025483,-2.1916934966941977,0.8585980636025402,-3.172425339175783,-0.673301793405578,0.9807318424815854,2.499123545770205,-1.5530689525036654,-1.8217168796482184,1.2219565316454704,-2.772168538917242,2.066222724309307,0.9504516592690238,4.8383912632265496,0,0.9285714285714286,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.8314760045662017,-1.8662077242928108,0.6648560232523861,-2.772168538917242,-0.6769952303372062,0.9059608146244313,2.095173308580036,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,-2.110132922323101,-2.1801853248208904,0.5685909123015679,-3.178836533424955,-1.010723782524637,0.9986512086040644,2.1681127509003177,-2.9639225077680553,-3.047012817695874,0.7261297358754482,-3.822848786094702,-1.6793066465243012,0.7758359683988276,2.1435421395704006,0,1,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-2.9639225077680553,-3.047012817695874,0.7261297358754482,-3.822848786094702,-1.6793066465243012,0.7758359683988276,2.1435421395704006,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;ATF1_HUMAN;bZIP_1;191;59,-2.2016850539341526,-2.267977522756764,1.0343277347796331,-4.133609305289514,-0.5161925419224154,1.8656317825327506,3.617416763367099,-0.44416505956922525,-0.6085518904096912,1.1114229285079802,-2.480622732129234,2.0193608167601913,1.8720708417195429,4.499983548889425,0,0.8823529411764706,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.0121228916098355,-0.7316360559860909,0.6459886429078745,-2.480622732129234,-0.3321794696036734,1.7489866761431432,2.1484432625255607,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;ID2_HUMAN;HLH;15;41,-2.3901777786646083,-2.6013715334783525,0.6170734453195293,-3.2371633414988303,-1.087746748856094,0.6357918080204779,2.149416592642736,-0.8853729893033013,-0.8844178601157817,1.3422032421251557,-3.276037095102,1.60306842183503,2.3916192349862184,4.87910551693703,0,0.9090909090909091,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.4856180958113538,-1.5572179280429022,1.0190288848685671,-3.276037095102,-0.05909117315597428,1.718819167059098,3.2169459219460257,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;TERF1_HUMAN;Myb_DNA-binding;359;48,-2.2857250247292042,-2.452934000790809,0.7586352813100797,-3.473029498418758,-0.4433588586058015,1.020095497627949,3.0296706398129567,0.8396789050772676,0.8506345467672389,0.6471717184754112,-1.0470211141999062,1.8749030645274596,1.897655660967145,2.921924178727366,0,0.4583333333333333,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.0470211141999062,-1.0470211141999062,NA,-1.0470211141999062,-1.0470211141999062,0,0,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56,-1.8698299091373103,-1.6952813499820905,1.0858209699254018,-3.348323586370549,0.16214003459089205,1.6530422363884587,3.510463620961441,0.8614173100349153,0.7846761969604958,0.6241612141945957,-0.12480332940078044,2.094211679039252,0.9094795263612763,2.2190150084400324,0.0625,0.5,Repressor,0.16214003459089205,0.16214003459089205,NA,0.16214003459089205,0.16214003459089205,0,0,-0.06506579564067233,-0.06506579564067233,0.08448163042626551,-0.12480332940078044,-0.00532826188056423,0.05973753376010811,0.11947506752021621,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;KMT2B_HUMAN;zf-CXXC;941;47,-1.9531561344878379,-2.17299026995122,0.4609624355862565,-2.420480162093341,-1.1946007190968122,0.24748989214212092,1.2258794429965287,-0.0019904427398157523,0.08860980679750484,1.1352827495856337,-2.3136231704457075,1.4499749394165558,2.4022329772432123,3.7635981098622633,0,0.65,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-0.9254115930333198,-0.7681601208536787,0.7849016592144014,-2.3136231704457075,-0.1309858134764749,1.545463049592029,2.1826373569692326,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;HXA13_HUMAN;Homeodomain;308;56,-2.2995407124739127,-2.432624107325937,1.3197473603350232,-5.4014461416765815,-0.20841191618265464,2.9688220343506444,5.193034225493927,0.250956124963228,0.26692450038362275,1.0232858255112012,-2.0902195814973017,1.8013868090080805,2.3571440818809246,3.891606390505382,0,0.7058823529411765,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-0.6997290814283054,-0.5491530168967768,0.6497195049234145,-2.0902195814973017,-0.16407818265756094,1.5410665646005248,1.9261413988397407,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,-1.9890484388156089,-2.2019417251018005,0.7335494830205231,-3.3866731349868937,-0.6271634996913501,1.1847314098850932,2.7595096352955437,-0.735508587349818,-0.7694072778332963,0.9303716149197159,-2.373077382771121,2.1048718412655125,1.6036701049378246,4.477949224036633,0,0.9130434782608695,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-1.0256889417524664,-0.8775997939594267,0.5007738184899296,-2.373077382771121,-0.3716142439212835,1.4954775888116942,2.0014631388498376,FALSE,TRUE,Repressor,Repressor,
Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,-1.4037376927707292,-1.490556835800807,0.5767531872061831,-2.768718083885082,-0.4057586031089714,1.2781612480842748,2.3629594807761105,0.8028992367330977,0.9513450075891859,0.6553935997877233,-0.6454631071932732,1.7318667675101085,1.596808114782459,2.3773298747033818,0,0.4583333333333333,Repressor,NA,NA,NA,Inf,-Inf,NA,-Inf,-0.23903133377969313,-0.14085122865872873,0.27798842119607686,-0.6454631071932732,-0.02895977060804191,0.5046118785345444,0.6165033365852313,FALSE,TRUE,Repressor,Repressor,
