hit_gene,control,ctrl_character,order,day,hit_score,avg_pair_enrichment
ABL1,DMD_control_tiles;ENSG00000198947;;130;,NucDom Act,C-H,2,-1.1027223445843624,0.20388998463506133
ABL1,DMD_control_tiles;ENSG00000198947;;130;,NucDom Act,C-H,5,1.8874183363328272,1.6306098535757667
ABL1,DMD_control_tiles;ENSG00000198947;;130;,NucDom Act,C-H,10,0.6173506211712967,1.3392324468529355
ABL1,DMD_control_tiles;ENSG00000198947;;130;,NucDom Act,H-C,2,-1.1027223445843624,-1.799825511024225
ABL1,DMD_control_tiles;ENSG00000198947;;130;,NucDom Act,H-C,5,1.8874183363328272,2.1131022069816754
ABL1,DMD_control_tiles;ENSG00000198947;;130;,NucDom Act,H-C,10,0.6173506211712967,0.9903044645105084
ABL1,DMD_control_tiles;ENSG00000198947;;131;,NucDom Act,C-H,2,-1.1027223445843624,0.9342428760017728
ABL1,DMD_control_tiles;ENSG00000198947;;131;,NucDom Act,C-H,5,1.8874183363328272,0.8632698807911968
ABL1,DMD_control_tiles;ENSG00000198947;;131;,NucDom Act,C-H,10,0.6173506211712967,0.4593213852397161
ABL1,DMD_control_tiles;ENSG00000198947;;131;,NucDom Act,H-C,2,-1.1027223445843624,1.1602001062322436
ABL1,DMD_control_tiles;ENSG00000198947;;131;,NucDom Act,H-C,5,1.8874183363328272,1.0679489043561643
ABL1,DMD_control_tiles;ENSG00000198947;;131;,NucDom Act,H-C,10,0.6173506211712967,-0.03573259469297873
ABL1,DMD_control_tiles;ENSG00000198947;;171;,NucDom Act,C-H,2,-1.1027223445843624,-1.3392788710238062
ABL1,DMD_control_tiles;ENSG00000198947;;171;,NucDom Act,C-H,5,1.8874183363328272,2.6510064834389553
ABL1,DMD_control_tiles;ENSG00000198947;;171;,NucDom Act,C-H,10,0.6173506211712967,0.5340292103511098
ABL1,DMD_control_tiles;ENSG00000198947;;171;,NucDom Act,H-C,2,-1.1027223445843624,-2.0834549120605477
ABL1,DMD_control_tiles;ENSG00000198947;;171;,NucDom Act,H-C,5,1.8874183363328272,1.4943166195203732
ABL1,DMD_control_tiles;ENSG00000198947;;171;,NucDom Act,H-C,10,0.6173506211712967,0.6844207740838931
ABL1,DMD_control_tiles;ENSG00000198947;;176;,NucDom Act,H-C,2,-1.1027223445843624,-1.7609288358922637
ABL1,DMD_control_tiles;ENSG00000198947;;176;,NucDom Act,H-C,5,1.8874183363328272,2.2054999384625775
ABL1,DMD_control_tiles;ENSG00000198947;;176;,NucDom Act,H-C,10,0.6173506211712967,0.5602380157795778
ABL1,DMD_control_tiles;ENSG00000198947;;176;,NucDom Act,C-H,2,-1.1027223445843624,-0.8332464146486386
ABL1,DMD_control_tiles;ENSG00000198947;;176;,NucDom Act,C-H,5,1.8874183363328272,1.703337745341054
ABL1,DMD_control_tiles;ENSG00000198947;;176;,NucDom Act,C-H,10,0.6173506211712967,1.203787232730988
ABL1,DMD_control_tiles;ENSG00000198947;;182;,NucDom Act,H-C,2,-1.1027223445843624,-1.3517940424696138
ABL1,DMD_control_tiles;ENSG00000198947;;182;,NucDom Act,H-C,5,1.8874183363328272,1.6968232433492143
ABL1,DMD_control_tiles;ENSG00000198947;;182;,NucDom Act,H-C,10,0.6173506211712967,-1.2458878228044263
ABL1,DMD_control_tiles;ENSG00000198947;;182;,NucDom Act,C-H,2,-1.1027223445843624,-2.7137765021480815
ABL1,DMD_control_tiles;ENSG00000198947;;182;,NucDom Act,C-H,5,1.8874183363328272,3.7063354755714246
ABL1,DMD_control_tiles;ENSG00000198947;;182;,NucDom Act,C-H,10,0.6173506211712967,NA
ABL1,DMD_control_tiles;ENSG00000198947;;251;,NucDom Act,C-H,2,-1.1027223445843624,-1.0845629321723655
ABL1,DMD_control_tiles;ENSG00000198947;;251;,NucDom Act,C-H,5,1.8874183363328272,2.1604768660149025
ABL1,DMD_control_tiles;ENSG00000198947;;251;,NucDom Act,C-H,10,0.6173506211712967,0.30825081320833847
ABL1,DMD_control_tiles;ENSG00000198947;;251;,NucDom Act,H-C,2,-1.1027223445843624,NA
ABL1,DMD_control_tiles;ENSG00000198947;;251;,NucDom Act,H-C,5,1.8874183363328272,1.939628758974298
ABL1,DMD_control_tiles;ENSG00000198947;;251;,NucDom Act,H-C,10,0.6173506211712967,-0.03288870477233224
ABL1,DMD_control_tiles;ENSG00000198947;;255;,NucDom Act,H-C,2,-1.1027223445843624,-0.4258094828323799
ABL1,DMD_control_tiles;ENSG00000198947;;255;,NucDom Act,H-C,5,1.8874183363328272,1.3855886702699602
ABL1,DMD_control_tiles;ENSG00000198947;;255;,NucDom Act,H-C,10,0.6173506211712967,1.1018087776720729
ABL1,DMD_control_tiles;ENSG00000198947;;255;,NucDom Act,C-H,2,-1.1027223445843624,-2.232629117259888
ABL1,DMD_control_tiles;ENSG00000198947;;255;,NucDom Act,C-H,5,1.8874183363328272,2.995829130474419
ABL1,DMD_control_tiles;ENSG00000198947;;255;,NucDom Act,C-H,10,0.6173506211712967,1.7489897452220655
ABL1,DMD_control_tiles;ENSG00000198947;;259;,NucDom Act,H-C,2,-1.1027223445843624,-0.18072686008097813
ABL1,DMD_control_tiles;ENSG00000198947;;259;,NucDom Act,H-C,5,1.8874183363328272,2.65441013282252
ABL1,DMD_control_tiles;ENSG00000198947;;259;,NucDom Act,H-C,10,0.6173506211712967,2.2442843194728805
ABL1,DMD_control_tiles;ENSG00000198947;;259;,NucDom Act,C-H,2,-1.1027223445843624,0.8040759491168158
