plasmid,description,day,asv,replicate,norm Citrine Off
90,NOTC2-ANM2,3.0,0.0,2.0,0.10758711022415246
90,NOTC2-ANM2,4.0,0.0,1.0,0.15581871318557697
90,NOTC2-ANM2,4.0,0.0,2.0,0.16491718240821238
90,NOTC2-ANM2,5.0,0.0,1.0,0.18588408143021978
90,NOTC2-ANM2,5.0,0.0,2.0,0.20109477987052346
91,NOTC2-KIBRA,0.0,0.0,1.0,0.05097077796464299
91,NOTC2-KIBRA,0.0,0.0,2.0,0.04675676722301814
91,NOTC2-KIBRA,1.0,0.0,1.0,0.07741174783394573
91,NOTC2-KIBRA,1.0,0.0,2.0,0.06821533923303831
91,NOTC2-KIBRA,2.0,0.0,1.0,0.3436093787005606
91,NOTC2-KIBRA,2.0,0.0,2.0,0.3515132727960717
91,NOTC2-KIBRA,3.0,0.0,1.0,0.7365710303969604
91,NOTC2-KIBRA,3.0,0.0,2.0,0.7674157381224224
91,NOTC2-KIBRA,4.0,0.0,1.0,0.9026302369927264
91,NOTC2-KIBRA,4.0,0.0,2.0,0.8937399724370578
91,NOTC2-KIBRA,5.0,0.0,1.0,0.9514837178076275
91,NOTC2-KIBRA,5.0,0.0,2.0,0.936712887681886
126,rTetR-only,0.0,0.0,1.0,-0.004991980799032768
126,rTetR-only,0.0,0.0,2.0,-0.006670239135168971
126,rTetR-only,0.0,1.0,1.0,-0.019343674410346113
126,rTetR-only,0.0,1.0,2.0,0.024150947562639295
126,rTetR-only,1.0,0.0,1.0,-0.011162600425763659
126,rTetR-only,1.0,0.0,2.0,0.015510146260781397
126,rTetR-only,1.0,1.0,1.0,0.024684195467905075
126,rTetR-only,1.0,1.0,2.0,0.0005549904042285628
126,rTetR-only,2.0,0.0,1.0,0.0034712531024507598
126,rTetR-only,2.0,0.0,2.0,0.006179817346782062
126,rTetR-only,2.0,1.0,1.0,0.02286587418580866
126,rTetR-only,2.0,1.0,2.0,0.004467857545455281
126,rTetR-only,3.0,0.0,1.0,-0.005683460651842164
126,rTetR-only,3.0,0.0,2.0,-0.0028442321432964523
126,rTetR-only,3.0,1.0,1.0,0.002218977496599924
126,rTetR-only,3.0,1.0,2.0,0.013125753177333454
126,rTetR-only,4.0,0.0,1.0,0.004189622903532882
126,rTetR-only,4.0,0.0,2.0,0.005676017432291812
126,rTetR-only,4.0,1.0,1.0,0.004538640709526401
126,rTetR-only,4.0,1.0,2.0,0.006700263361952096
126,rTetR-only,5.0,0.0,1.0,-0.0011046048241359742
126,rTetR-only,5.0,0.0,2.0,0.0018441710527466455
126,rTetR-only,5.0,1.0,1.0,0.007686823325221068
126,rTetR-only,5.0,1.0,2.0,0.009666114082900003
138,KIBRA-DMD297,0.0,0.0,1.0,0.017137999236614805
138,KIBRA-DMD297,0.0,0.0,2.0,0.04389372051886785
138,KIBRA-DMD297,1.0,0.0,1.0,0.025664738787831362
138,KIBRA-DMD297,1.0,0.0,2.0,0.02579962598344941
138,KIBRA-DMD297,2.0,0.0,1.0,0.0726200044856475
138,KIBRA-DMD297,2.0,0.0,2.0,0.09450965079510915
138,KIBRA-DMD297,3.0,0.0,1.0,0.253874980354571
138,KIBRA-DMD297,3.0,0.0,2.0,0.28815994731507477
138,KIBRA-DMD297,4.0,0.0,1.0,0.3834560817327468
138,KIBRA-DMD297,4.0,0.0,2.0,0.40754740456898325
138,KIBRA-DMD297,5.0,0.0,1.0,0.400743071385628
138,KIBRA-DMD297,5.0,0.0,2.0,0.44350211263153233
140,FOXO3-ZNF10,0.0,0.0,1.0,0.03332023774183171
140,FOXO3-ZNF10,0.0,0.0,2.0,-0.01067495454813361
140,FOXO3-ZNF10,0.0,1.0,1.0,-0.013223750842296685
140,FOXO3-ZNF10,0.0,1.0,2.0,0.015808730355960924
140,FOXO3-ZNF10,1.0,0.0,1.0,0.15179448312845312
140,FOXO3-ZNF10,1.0,0.0,2.0,0.15477168581363962
140,FOXO3-ZNF10,1.0,1.0,1.0,0.16672721897049392
140,FOXO3-ZNF10,1.0,1.0,2.0,0.21443916346201303
140,FOXO3-ZNF10,2.0,0.0,1.0,0.7293404752586197
140,FOXO3-ZNF10,2.0,0.0,2.0,0.7231585774821522
140,FOXO3-ZNF10,2.0,1.0,1.0,0.7273710827543939
140,FOXO3-ZNF10,2.0,1.0,2.0,0.7286812137468981
140,FOXO3-ZNF10,3.0,0.0,1.0,0.983819545375597
140,FOXO3-ZNF10,3.0,0.0,2.0,0.986973583494609
140,FOXO3-ZNF10,3.0,1.0,1.0,0.9872474885095739
140,FOXO3-ZNF10,3.0,1.0,2.0,0.9884520653499147
140,FOXO3-ZNF10,4.0,0.0,1.0,0.9900634627319198
140,FOXO3-ZNF10,4.0,0.0,2.0,0.9899892653357341
140,FOXO3-ZNF10,4.0,1.0,1.0,0.9890685332165365
140,FOXO3-ZNF10,4.0,1.0,2.0,0.9938957711324099
140,FOXO3-ZNF10,5.0,0.0,1.0,0.9892605616399686
140,FOXO3-ZNF10,5.0,0.0,2.0,0.9883066677595614
140,FOXO3-ZNF10,5.0,1.0,1.0,0.9880658696102426
140,FOXO3-ZNF10,5.0,1.0,2.0,0.9906632663235752
181,ZNF10-Rand372,0.0,0.0,1.0,-0.011119257086999066
181,ZNF10-Rand372,0.0,0.0,2.0,0.005390390045685139
181,ZNF10-Rand372,1.0,0.0,1.0,0.16891293654697487
181,ZNF10-Rand372,1.0,0.0,2.0,0.15718731751340448
181,ZNF10-Rand372,2.0,0.0,1.0,0.7774151669992275
181,ZNF10-Rand372,2.0,0.0,2.0,0.7507458100859014
181,ZNF10-Rand372,3.0,0.0,1.0,0.9937726229146591
181,ZNF10-Rand372,3.0,0.0,2.0,0.9900869158807944
181,ZNF10-Rand372,4.0,0.0,1.0,0.9970991198556386
181,ZNF10-Rand372,4.0,0.0,2.0,0.9895916011385064
181,ZNF10-Rand372,5.0,0.0,1.0,0.9964078833384086
181,ZNF10-Rand372,5.0,0.0,2.0,0.9923484629324997
182,Rand372-CBX1,0.0,0.0,1.0,-0.01642580420790074
182,Rand372-CBX1,0.0,0.0,2.0,-0.005884740869931311
182,Rand372-CBX1,1.0,0.0,1.0,0.15816856224233153
182,Rand372-CBX1,1.0,0.0,2.0,0.15695238764615096
182,Rand372-CBX1,2.0,0.0,1.0,0.7512641249361535
182,Rand372-CBX1,2.0,0.0,2.0,0.7470750705733494
182,Rand372-CBX1,3.0,0.0,1.0,0.992883950147333
182,Rand372-CBX1,3.0,0.0,2.0,0.9912125772430104
182,Rand372-CBX1,4.0,0.0,1.0,0.994668618787577
182,Rand372-CBX1,4.0,0.0,2.0,0.9962287901730413
182,Rand372-CBX1,5.0,0.0,1.0,0.9951788407308868
182,Rand372-CBX1,5.0,0.0,2.0,0.9958391789736892
183,Rand372-ANM2,0.0,0.0,1.0,0.0061954236739974475
183,Rand372-ANM2,0.0,0.0,2.0,-0.009330521876647345
183,Rand372-ANM2,1.0,0.0,1.0,-0.009619312346332254
183,Rand372-ANM2,1.0,0.0,2.0,-0.016757614458763854
183,Rand372-ANM2,2.0,0.0,1.0,-0.0027643748707959323
183,Rand372-ANM2,2.0,0.0,2.0,-0.010734561320871739
183,Rand372-ANM2,3.0,0.0,1.0,-0.008459892312411336
183,Rand372-ANM2,3.0,0.0,2.0,0.011628529026023333
183,Rand372-ANM2,4.0,0.0,1.0,-0.016362084393641136
183,Rand372-ANM2,4.0,0.0,2.0,-0.01011629413347427
183,Rand372-ANM2,5.0,0.0,1.0,-0.009527006673448933
183,Rand372-ANM2,5.0,0.0,2.0,-0.012305947501676209
184,Rand372-FOXO3,0.0,0.0,1.0,-0.014480546316887456
184,Rand372-FOXO3,0.0,0.0,2.0,0.009721495692290211
184,Rand372-FOXO3,1.0,0.0,1.0,0.06175790969273112
184,Rand372-FOXO3,1.0,0.0,2.0,0.0402393869122178
184,Rand372-FOXO3,2.0,0.0,1.0,0.2658473582065583
184,Rand372-FOXO3,2.0,0.0,2.0,0.2423835863525262
184,Rand372-FOXO3,3.0,0.0,1.0,0.5173378519034265
184,Rand372-FOXO3,3.0,0.0,2.0,0.550758054260196
184,Rand372-FOXO3,4.0,0.0,1.0,0.6143175277843074
184,Rand372-FOXO3,4.0,0.0,2.0,0.6405039402992415
184,Rand372-FOXO3,5.0,0.0,1.0,0.6625108499301818
184,Rand372-FOXO3,5.0,0.0,2.0,0.6945135702987693
188,NOTC2-Rand372,0.0,0.0,1.0,-0.0007677396339581787
188,NOTC2-Rand372,0.0,0.0,2.0,0.002830031942284325
188,NOTC2-Rand372,1.0,0.0,1.0,0.03593927008107356
188,NOTC2-Rand372,1.0,0.0,2.0,0.03742620269513795
188,NOTC2-Rand372,2.0,0.0,1.0,0.1441341843186102
188,NOTC2-Rand372,2.0,0.0,2.0,0.13413642960812763
188,NOTC2-Rand372,3.0,0.0,1.0,0.44126035108080663
188,NOTC2-Rand372,3.0,0.0,2.0,0.43872118664123233
188,NOTC2-Rand372,4.0,0.0,1.0,0.5779595255518749
188,NOTC2-Rand372,4.0,0.0,2.0,0.5816384110826337
188,NOTC2-Rand372,5.0,0.0,1.0,0.5899287441540105
188,NOTC2-Rand372,5.0,0.0,2.0,0.6100764838486628
217,ZNF10-only,0.0,0.0,1.0,0.012564842715188155
217,ZNF10-only,0.0,0.0,2.0,-0.02108731548912635
217,ZNF10-only,0.0,1.0,1.0,0.01519726639278752
217,ZNF10-only,0.0,1.0,2.0,-0.031114764955069173
217,ZNF10-only,1.0,0.0,1.0,0.22589276388919974
217,ZNF10-only,1.0,0.0,2.0,0.13350061285243586
217,ZNF10-only,1.0,1.0,1.0,0.21372950819672132
217,ZNF10-only,1.0,1.0,2.0,0.14056860742253996
217,ZNF10-only,2.0,0.0,1.0,0.847839138911917
217,ZNF10-only,2.0,0.0,2.0,0.7417065487778499
217,ZNF10-only,2.0,1.0,1.0,0.7884297760977028
217,ZNF10-only,2.0,1.0,2.0,0.7629938975204886
217,ZNF10-only,3.0,0.0,1.0,0.9919041852797819
217,ZNF10-only,3.0,0.0,2.0,0.9917392828840614
217,ZNF10-only,3.0,1.0,1.0,0.9885263764711587
217,ZNF10-only,3.0,1.0,2.0,0.9882947673642243
217,ZNF10-only,4.0,0.0,1.0,0.9903763033174923
217,ZNF10-only,4.0,0.0,2.0,0.99492907206644
217,ZNF10-only,4.0,1.0,1.0,0.9962108864815855
217,ZNF10-only,4.0,1.0,2.0,0.9957065857754487
217,ZNF10-only,5.0,0.0,1.0,0.9891315762831058
217,ZNF10-only,5.0,0.0,2.0,0.9939029872186863
217,ZNF10-only,5.0,1.0,1.0,0.9930584948731433
217,ZNF10-only,5.0,1.0,2.0,0.9954157687073801
222,FOXO3-only,0.0,0.0,1.0,-0.027877909142487098
222,FOXO3-only,0.0,0.0,2.0,-0.005666521474275938
222,FOXO3-only,0.0,1.0,1.0,0.01200899574564807
222,FOXO3-only,0.0,1.0,2.0,0.02250113950928832
222,FOXO3-only,1.0,0.0,1.0,0.09224018756272483
222,FOXO3-only,1.0,0.0,2.0,0.03358970794718795
222,FOXO3-only,1.0,1.0,1.0,0.0518316562267548
222,FOXO3-only,1.0,1.0,2.0,0.04647731262067755
222,FOXO3-only,2.0,0.0,1.0,0.1921887313962203
222,FOXO3-only,2.0,0.0,2.0,0.19252560578037667
222,FOXO3-only,2.0,1.0,1.0,0.17673753357251643
222,FOXO3-only,2.0,1.0,2.0,0.15524935969380418
222,FOXO3-only,3.0,0.0,1.0,0.35071149034518206
222,FOXO3-only,3.0,0.0,2.0,0.3678165347906112
222,FOXO3-only,3.0,1.0,1.0,0.30410780456208186
222,FOXO3-only,3.0,1.0,2.0,0.30841854350247416
222,FOXO3-only,4.0,0.0,1.0,0.4274434526903854
222,FOXO3-only,4.0,0.0,2.0,0.45039340586939447
222,FOXO3-only,4.0,1.0,1.0,0.38214666823031157
222,FOXO3-only,4.0,1.0,2.0,0.41511322432814907
222,FOXO3-only,5.0,0.0,1.0,0.4627638385718204
222,FOXO3-only,5.0,0.0,2.0,0.47143805704335123
222,FOXO3-only,5.0,1.0,1.0,0.415240547254486
222,FOXO3-only,5.0,1.0,2.0,0.4398878140907314
