,plasmid,bg,on,ks,tlag,bprime,lambda,s_on,gamma,u_off,s_off,good_fit
0,56,0.13733795740346447,0.8427757884010109,0.0,0.0,0.9999999999999999,1085.2838907567605,0.3896078583021276,0.0,6.384902693391058,0.10000000208637261,True
0,59,0.13733795740346447,0.0,3.6119628605913765,0.871166663707241,0.9999999999999999,1219.2239732402045,0.3055655144485324,0.2516336589354314,6.356268903019743,0.13592951486138868,True
0,61,0.13733795740346447,0.0,0.98832595084459,0.874944889543287,0.9999999999999999,1208.4594941451162,0.31763931274725826,0.2245107526184632,6.389900718673974,0.18578665241488815,True
0,63,0.13733795740346447,0.0,3.373775403108158,0.8467226576350634,0.9999999999999999,1146.1156147595616,0.39716332050161157,0.2517554574959557,6.329005699839357,0.13482841389686767,True
0,65,0.13733795740346447,0.874405518628964,0.0,0.0,3.649004701881725e-18,1085.4622142110688,0.3570496553224349,0.0,6.3500977495504785,0.10000001432695348,True
0,72,0.13733795740346447,0.8609223237051005,0.0,0.0,0.9999999999999998,1217.2722973530556,0.3155327233111214,0.0,6.40539646817132,0.10000000908799443,True
0,73,0.13733795740346447,0.46447388986280574,2.4576850268644246,1.7576871783775467,0.9999999999999999,1183.8445206742492,0.3513196245370083,0.09266225305421788,6.359734773489449,0.10000000000000002,False
0,74,0.13733795740346447,0.8848119546817885,0.0,0.0,1.9109429637364323e-17,1269.432089692347,0.3069334272212712,0.0,6.412158008194856,0.10000001450722196,True
0,75,0.13733795740346447,0.867761903039687,0.0,0.0,8.280289542874191e-18,1299.5315190252272,0.30740250702387156,0.0,6.390909504943052,0.1000000076419985,True
0,76,0.13733795740346447,0.0,3.320729443711838,0.7241775135264635,0.9999999999999999,1231.843045130168,0.42296598635990795,0.26474049250062437,6.338311940228231,0.15247787018400177,True
0,77,0.13733795740346447,0.0,3.081644637149377,0.7147420161439454,0.9999999999999998,1224.2384284793673,0.42634226281754556,0.2710998888683716,6.342728387197333,0.1466568942898199,True
0,78,0.13733795740346447,0.859204459243297,0.0,0.0,0.9999999999999999,1186.4584794844302,0.31568570754776654,0.0,6.361303923595419,0.10000000898311075,True
0,79,0.13733795740346447,0.7917647786416994,0.0,0.0,0.9999999999999999,1302.4629281357002,0.3052841472164316,0.0,6.375530681220191,0.10000000165790282,True
0,80,0.13733795740346447,0.0,1.2820810151208228,0.8366741721399206,0.9999999999999999,1192.5462680556088,0.3390520336157126,0.2513738416245471,6.386093623888976,0.19645646124123653,True
0,81,0.13733795740346447,0.7666141960399716,0.0,0.0,0.9999999999999999,1265.5855162333562,0.36011552276921543,0.0,6.421263430652497,0.10000000000388759,True
0,82,0.13733795740346447,0.0,2.9483811195210476,0.912008345180688,0.9999999999999999,1293.1205294942126,0.2964515657111018,0.24075736804891504,6.3775153419744735,0.14879192145577758,True
0,83,0.13733795740346447,0.0,1.7302414999206577,0.887823972229222,0.9985414437274428,1070.966648593722,0.31307966416296373,0.2007397991917572,6.74416618197359,0.26628078502756364,True
0,84,0.13733795740346447,0.0,0.4500545191145791,0.33996632694068213,0.9653580842046627,1055.6586856633278,0.39617024702373976,0.10942180336498492,6.534584700656561,0.34000384451810406,True
0,87,0.13733795740346447,0.0,3.9668489388845027,0.9062834827394877,0.9999999999999999,1283.4236528444055,0.29090254610043964,0.24136580021703674,6.365757309127862,0.13817590332787286,True
0,90,0.13733795740346447,0.6118397504664456,0.6177376587951152,1.4312666955917583,0.9999999999999999,1294.1074226333333,0.31194115197242717,0.006378644155270971,6.368588050066558,0.10000000000000002,False
0,91,0.13733795740346447,0.0,0.8768649364594835,0.6468298010525666,0.9999999999999999,1259.2232373678173,0.33078705550539617,0.23747117650211122,6.349157862162468,0.20136989826312116,True
0,92,0.13733795740346447,0.48118226810345854,1.5206606646616476,1.2445681513728708,0.9999999999999999,1078.1118266853105,0.3672582598946344,0.024261653354003387,6.436623705550518,0.13176705623560628,False
0,93,0.13733795740346447,0.0,2.999874412788587,0.8631272439938935,0.9999999999999988,1238.536666151634,0.3287931118964801,0.23607428617961512,6.347236530227752,0.15382222510144114,True
0,94,0.13733795740346447,0.0,3.134277831324454,0.9124570929977408,0.9999999999999991,1113.4377070331677,0.43831012988932666,0.2421700983119991,6.341258362384806,0.1376999464608769,True
0,96,0.13733795740346447,0.0,2.8917127069248294,0.8693187319540977,0.9999999999999999,1159.8931996141068,0.36229610379264937,0.2573558398802478,6.434986480092272,0.16920971112947855,True
0,97,0.13733795740346447,0.0,2.9742863532279307,0.9393045509941407,0.9999999999999999,1278.1016441562333,0.3358831770333734,0.24042564087497004,6.3776789617534595,0.18025912348096945,True
0,98,0.13733795740346447,0.0,3.794748251868006,0.9166713187870845,0.9999999999999999,1178.9317584167038,0.3276264200336909,0.26908316822094325,6.32841700443416,0.13626813584068126,True
0,99,0.13733795740346447,0.6236454860451955,0.7759887863248226,1.3839721617437895,0.9999999999999999,1174.2918479694497,0.33870474412846685,0.01202182351180135,6.379526632765096,0.10000000000000002,False
0,126,0.13733795740346447,0.8449745084303532,0.0,0.0,0.9999999999999999,1165.3628976401437,0.3684115284102957,0.0,6.348289251796804,0.10000000158740814,True
0,138,0.13733795740346447,0.0,0.35306301974692245,1.0000000658367947,0.9841948451769411,1205.4249613883776,0.3445955328603392,0.0481630377900377,6.419585890497785,0.24636082593595088,True
0,140,0.13733795740346447,0.0,3.507232950303972,0.8357730741682262,0.9175990294380499,1145.7398989035482,0.5017336751316187,0.2724061389311943,6.332624879173568,0.15017728804473038,True
0,144,0.13733795740346447,0.43028939287364665,5.99979268427405,1.6768408876466108,0.9999999999999999,1204.6538904509464,0.3238392155666234,0.16299265740240387,6.434236191322817,0.13212495837811122,False
0,181,0.13733795740346447,0.0,3.604276126842165,0.8283981868008051,0.9833498721676506,1117.2593921764114,0.42783709713072876,0.2577729369471517,6.326911501928723,0.16327922461061767,True
0,182,0.13733795740346447,0.0,4.033550591569347,0.8597575248986244,0.9999999999999996,1095.4297790355174,0.36695266944479427,0.2565960690463404,6.347761285903969,0.14960147205583132,True
0,183,0.13733795740346447,0.8397896189180383,0.0,0.0,0.9999999999999999,1263.4752600542963,0.3539209099380876,0.0,6.3676829701860695,0.10000000539703344,True
0,184,0.13733795740346447,0.32632211659883587,5.999911546110316,1.719764622023348,0.9999999999999999,1186.526353864798,0.34444678571535914,0.210894554881464,6.354227742768675,0.11631667075232653,False
0,188,0.13733795740346447,0.0,0.6999863470732374,1.211988782321436,0.9999999999999999,1136.5865909239524,0.3579737414146275,0.14034579652820797,6.427465389733081,0.22974196271844383,True
0,217,0.13733795740346447,0.0,4.035236132296406,0.8097879728817928,0.9999999999999999,1189.7320855431715,0.3806480602138721,0.26698035676488735,6.3763540443306495,0.1582894591880522,True
0,222,0.13733795740346447,0.40887987090060895,5.988083148295022,1.893547299720552,0.9999999999999999,1130.96873243919,0.3735921219179168,0.16323132923450537,6.34784932799259,0.10292134219064064,False
