,plasmid,bg,on,ks,tlag,bprime,lambda,s_on,gamma,u_sil,u_off,s_off
0,84,0.13729837343933032,0,0,1.9999999505189534,0.9796951008051725,1039.3140859465082,0.37726995331625723,0.7969089186887518,7.730259624661363,6.559885625100626,0.3341101625806495
0,138,0.13729837343933032,0,0,1.9999999505189534,0.9890477619457388,1210.9469162412304,0.34613493749189467,0.4594572081300215,7.874620831713203,6.41011059517087,0.23256349737572873
